52
[[725.5, 803, 814.5, 775.5, 864, 842.5, 840, 861, 819.5, 829, 816.5, 823, 838, 848, 835.5, 825.5, 830, 826, 845.5, 814, 862, 884, 896, 902.5, 901.5, 883.5, 896, 865, 853, 846.5, 864.5, 895, 891, 882, 892, 902, 884.5, 882.5, 896.5, 876.5, 890.5, 883, 882.5, 891, 878.5, 901, 880, 861.5, 872.5, 891, 881, 869, 889],
[382, 408, 431, 437, 458, 453, 467, 455, 471, 473, 479, 490.75, 502, 491, 496.75, 498, 495.25, 483, 509.75, 482.75, 480, 482, 492.25, 496.25, 507, 512, 539, 549, 527, 522, 530.5, 549, 549, 542, 538, 519, 514, 510, 501, 511.5, 497, 512.5, 515.5, 521, 512, 515, 500.5, 491.5, 492, 500, 546, 539.5, 547],
[256.5, 301.5, 301.5, 280, 338, 333.25, 342, 339.5, 324.25, 340, 346.75, 342, 397, 414.75, 448, 404, 418, 441, 467.75, 433.75, 464, 477, 487, 508, 512.5, 513.75, 536, 528, 520, 477.5, 495.5, 514, 512.5, 455, 465.5, 406.5, 409.5, 392, 418, 372, 374, 403, 409.25, 415, 435, 454.25, 422.75, 403.75, 420.75, 407.25, 435, 426.5, 457.5],
[905, 970.5, 943, 899, 982.5, 932, 933.5, 860, 913.5, 909.5, 890.5, 920, 971, 996.5, 960.5, 949, 925, 944.5, 1015.5, 982.5, 1095, 1084, 1125, 1181, 1201, 1208, 1205.5, 1183.5, 1177, 1102, 1178, 1219, 1193, 1151, 1217, 1248, 1245, 1225, 1273, 1218, 1168, 1203, 1224, 1242, 1195, 1236, 1247, 1230, 1236, 1278, 1316, 1368, 1391],
[470, 518, 508.5, 493, 521.5, 518, 528.5, 539.5, 541, 558, 569.5, 575, 569.5, 553.5, 529.5, 534.5, 536, 534, 538, 529, 535, 532.5, 541, 541.5, 529, 519.5, 515, 542, 544, 534.5, 543, 548, 542, 542, 561.5, 569.5, 582.5, 572.5, 565, 566.5, 568, 574, 579, 581, 593.5, 572, 576, 562, 566.5, 586, 596, 584.5, 582.5],
[1965, 2080, 2205, 2157, 2354, 2233, 2213, 2424, 2508, 2526, 2550, 2468, 2515, 2636, 2633, 2507, 2430, 2565, 2560, 2394, 2462, 2396, 2473, 2581, 2402, 2502, 2661, 2630, 2611, 2537, 2699, 2692, 2775, 2868, 2768, 2675, 2779, 2700, 2662, 2640, 2566, 2635, 2696, 2654, 2560, 2595, 2634, 2631, 2650, 2585, 2544, 2598, 2670],
[356, 415, 401.25, 352, 400, 393.5, 407.25, 446, 432, 436, 427.25, 424, 460.75, 428.75, 453, 444.25, 420.75, 446.25, 459, 469.25, 497.75, 500.25, 490.25, 516.5, 520, 514.5, 528.5, 511.75, 510.5, 482, 497, 497.5, 506, 487.5, 487, 506.5, 502.5, 477, 479, 461, 460.5, 481, 487, 500.75, 492.25, 531.75, 515, 518.75, 537.75, 537.75, 555.5, 574.25, 587.75],
[432, 469, 470, 470, 490, 473.5, 479.5, 477, 494.5, 501.25, 501, 504, 498, 499, 489.5, 495, 490.5, 508.25, 503, 483, 481, 452, 472, 473, 466, 454.75, 468, 481.75, 481.25, 471, 465, 483.5, 475.5, 471.25, 473, 480, 482, 475, 470.5, 464, 474.25, 485.5, 494.25, 486.5, 493, 510, 512.5, 522.25, 532.75, 526.75, 528.25, 527.5, 546.25],
[113.25, 130, 124.75, 112, 130.75, 123.5, 119.25, 124.5, 124, 132.25, 130.5, 128.5, 135, 154, 139.5, 135, 142.5, 145, 147.75, 142.75, 143.5, 151, 155.75, 169, 169.75, 175.5, 182.25, 182, 185.25, 170.25, 180, 189.25, 180.75, 174, 186.5, 180, 173.75, 176.75, 173.25, 166.25, 168.25, 168.75, 169.75, 170.25, 164, 171, 165, 165.75, 159, 179.5, 183.5, 195.5, 200.75],
[330, 371.75, 379.75, 365, 412.5, 407.75, 414, 442.75, 428, 409.25, 417, 415.25, 440.5, 440, 461, 457.5, 450, 458.75, 459.5, 451, 467, 453.25, 484.75, 492, 471.75, 463.75, 469.5, 486, 494, 468, 490.75, 519, 520.25, 495.5, 497, 498.5, 486.25, 497.5, 513.25, 496, 480.25, 492.75, 493, 506, 508.5, 530.75, 508, 494, 517, 493.5, 506.5, 488.5, 495.75],
[306.5, 326, 323, 317, 351.5, 335.5, 340.25, 318.75, 316.75, 315.75, 301.25, 309.5, 322.25, 327.75, 330, 323, 319, 331, 346, 345, 373, 368.25, 379.75, 407, 409.5, 426, 437.5, 426, 416.75, 405.75, 432.25, 475, 468, 443, 468.5, 463, 441.75, 436.25, 458.25, 461.5, 465.75, 477, 487, 500, 466, 472.25, 467.5, 447.25, 463.25, 481, 496.25, 514.25, 509.25],
[720, 755, 768, 757, 828.5, 804, 802.5, 791.5, 789, 785, 775, 771.5, 781, 761.5, 775, 787.5, 777.5, 797, 868, 851, 852.5, 851.5, 832.5, 844.5, 889.5, 890, 911, 892.5, 877.5, 829, 859.5, 880.5, 906.5, 869, 819.5, 846.5, 814, 823.5, 822.5, 791.5, 826.5, 844.5, 850, 855.5, 844.5, 859.5, 868, 894, 890.5, 938, 943.5, 942.5, 930.5],
[521, 561, 565, 530.5, 534.5, 524.5, 548, 555, 569, 606, 594, 608, 638.5, 625, 627.5, 612, 648.5, 660, 664.5, 647, 670, 655.5, 664.5, 663.5, 666, 667, 678, 688.5, 666.5, 654.5, 675, 673, 680, 671, 720.5, 710.5, 734.5, 712.5, 718, 705, 681, 688, 687, 680, 666.5, 707.5, 710, 697.5, 729.5, 744, 744, 744.5, 735],
