Epsilon,Dates
0.22570197196339215,2001-01-02
0.08902150854450393,2001-04-02
0.007924828983539186,2001-07-02
0.004534878508128591,2001-10-01
0.03511191734215135,2002-01-02
0.016681005372000592,2002-04-01
0.0037649358067924714,2002-07-01
0.0001592282793341094,2002-10-01
0.006579332246575682,2003-01-02
0.002154434690031887,2003-04-01
0.016681005372000592,2003-07-01
0.002595024211399737,2003-10-01
0.01149756995397738,2004-01-02
0.009545484566618348,2004-04-01
0.002595024211399737,2004-07-01
0.013848863713938746,2004-10-01
0.12915496650148853,2005-01-03
0.03511191734215135,2005-04-01
0.0004037017258596558,2005-07-01
0.00019179102616724886,2005-10-03
0.01149756995397738,2006-01-03
0.0012328467394420685,2006-04-03
0.01149756995397738,2006-07-03
0.009545484566618348,2006-10-02
0.01149756995397738,2007-01-03
0.004534878508128591,2007-04-02
0.01149756995397738,2007-07-02
0.03511191734215135,2007-10-01
0.01149756995397738,2008-01-02
0.01149756995397738,2008-04-01
0.0031257158496882415,2008-07-01
0.024201282647943835,2008-10-01
0.002595024211399737,2009-01-02
0.12915496650148853,2009-04-01
0.0200923300256505,2009-07-01
0.15556761439304753,2009-10-01
0.01149756995397738,2010-01-04
0.8302175681319752,2010-04-01
0.009545484566618348,2010-07-01
0.01149756995397738,2010-10-01
0.0031257158496882415,2011-01-03
4.328761281083062e-05,2011-04-01
0.03511191734215135,2011-07-01
0.05094138014816386,2011-10-03
0.006579332246575682,2012-01-03
0.0001592282793341094,2012-04-02
0.0005857020818056673,2012-07-02
0.0200923300256505,2012-10-01
0.572236765935022,2013-01-02
0.00019179102616724886,2013-04-01
0.009545484566618348,2013-07-01
0.007924828983539186,2013-10-01
0.013848863713938746,2014-01-02
0.05094138014816386,2014-04-01
0.0012328467394420685,2014-07-01
0.009545484566618348,2014-10-01
0.007924828983539186,2015-01-02
0.029150530628251816,2015-04-01
0.007924828983539186,2015-07-01
0.029150530628251816,2015-10-01
0.013848863713938746,2016-01-04
0.002595024211399737,2016-04-01
0.00048626015800653534,2016-07-01
0.061359072734131756,2016-10-03
0.0200923300256505,2017-01-03
0.001788649529057435,2017-04-03
0.0002782559402207126,2017-07-03
0.005462277217684349,2017-10-02
0.00048626015800653534,2018-01-02
0.013848863713938746,2018-04-02
0.024201282647943835,2018-07-02
9.770099572992246e-06,2018-10-01
0.0031257158496882415,2019-01-02
0.007924828983539186,2019-04-01
0.002154434690031887,2019-07-01
0.22570197196339215,2019-10-01
0.024201282647943835,2020-01-02
0.00013219411484660315,2020-04-01
0.013848863713938746,2020-07-01
0.00023101297000831627,2020-10-01
2.477076355991714e-05,2021-01-04
0.27185882427329455,2021-04-01
0.00048626015800653534,2021-07-01
0.00019179102616724886,2021-10-01
0.0012328467394420685,2022-01-03
1.1233240329780266e-07,2022-04-01
0.00019179102616724886,2022-07-01
0.00023101297000831627,2022-10-03
0.18738174228603868,2023-01-03
7.56463327554629e-05,2023-04-03
0.0,2023-07-03
